1.824236096196174550e+00 1.430838004602378177e+01 7.357224080453925730e+00 1.750111515200093493e+02
1.003296287760830685e+00 3.816605869315155886e+00 5.185899718072396247e+00 1.187189100403176099e+02
7.362338870684822512e-01 3.979714866682665608e+00 3.595094706877644430e+00 9.212470255417363774e+01
1.418417013583188391e+00 1.766655594307477761e+00 3.750228751133489080e+00 6.115429462426877905e+01
3.046990606088615383e-01 1.636751547411067764e-01 3.255796646327720811e+00 6.051833762815357431e+01
9.267511168581256398e-02 5.459732380625935688e-01 2.931959645290830530e+00 3.782530330735655610e+01
4.738034868903694408e-01 1.334275622738274047e-01 3.221607645184709767e+00 3.742621614063514812e+01
2.921841291738448976e-01 6.548069789116337525e-01 2.749362588786381512e+00 2.927084571552280323e+01
6.055022135023596652e-01 1.790160883572473050e-01 2.654390624272880306e+00 4.805380385917643338e+01
1.913624665823147053e-01 4.943581079462195382e-01 2.675780054471535330e+00 1.779697690407485666e+01
