8.976359980467668587e-01 8.431497225172222443e+00 1.070599283047403638e+01 7.368345210857555116e+01
1.005418969812587271e+00 1.382047551104666283e+01 1.039186345000728195e+01 2.558711439405545605e+02
1.285075505147574848e+00 1.234495014776401156e+01 9.575519792424485033e+00 1.918182190088912762e+02
1.496348201859210691e+00 1.084533008746561400e+01 9.087054369976012680e+00 2.185926863438340604e+02
1.440788359790712958e+00 9.159749364132212079e+00 8.658069290439113885e+00 2.225523324921853145e+02
1.638839936812074738e+00 8.265472348793048596e+00 8.501253263828711937e+00 2.248683283584069841e+02
1.593024138368853260e+00 8.005197774513096221e+00 8.398941442401415713e+00 2.295982619132354614e+02
1.754028874763333468e+00 7.614351938934623476e+00 8.187163191294711595e+00 2.171007128044169576e+02
1.612563067776128234e+00 6.847488373692734775e+00 8.005198444518107692e+00 2.116480592252677013e+02
1.721625176264740986e+00 6.663194600337734919e+00 7.987039404640837503e+00 2.070775535340373494e+02
