9.626651223152393300e+01 3.016948014361659602e+00 2.631814187270188654e+02 3.959341590267779338e+02 1.141519322069672853e+03
7.572925396067584636e+00 1.018466533033844046e+00 6.113297774097112836e+01 4.421739514883087736e+02 1.855056587936993537e+02
5.203803716730560858e+00 9.362560231376410025e-01 2.150498716643301478e+01 4.209668679038126697e+02 5.437763638448998194e+01
9.710349133424220014e+00 8.475444322257441598e-01 4.750276462824047030e+00 4.133197976656347237e+02 1.869026898644907320e+01
1.212541835677590285e+01 6.472275871410756443e-01 3.630039115601618960e+00 4.220482249732695550e+02 2.316506883402572825e+01
8.311109570605474950e-01 3.836680864734731689e-02 3.080742523267911093e+00 4.269040528392843612e+02 1.515516823714091110e+01
6.647527832134549897e-01 2.337784466598487321e-01 2.118318336503222543e+00 4.348576040798794793e+02 1.381165154285979391e+01
7.126212222605184943e-01 2.549411944070718028e-01 2.098866093746362793e+00 4.431133985926864511e+02 1.401097409054916554e+01
8.680560353344900504e-01 1.150993345099794452e-01 2.703233565588195830e+00 4.508716315960706424e+02 1.485498230268161990e+01
4.582059477340532649e-01 2.401368302078793759e-01 2.617827784744019670e+00 4.499805599577610451e+02 1.431616217399038327e+01
